gen,nevals,Promedio,Max_Ganancia,Desviacion
0,50,677.4913648043923,1173.4958346415149,363.478132581206
1,35,892.6173488900422,1173.4958346415146,311.7661039351861
2,40,929.0368699075129,1173.4958346415149,331.68730989571213
3,34,938.1616891006811,1173.4958346415149,356.087882835539
4,44,969.4297409404736,1173.4958346415149,319.6403125106731
5,38,968.5253172519183,1173.4958346415149,319.3595773313843
6,47,959.2141988264474,1173.4958346415149,302.9437577065445
7,34,1028.2440216270486,1173.4958346415149,246.4421321702713
8,30,1055.8807764500482,1173.4958346415149,245.49301694190626
9,42,1049.6229645283531,1173.4958346415149,294.9062404084843
10,32,1049.6152407648824,1173.4958346415149,262.8552869871599
11,35,1064.2106405287548,1173.4958346415149,241.6247397490512
12,43,1122.612730085097,1173.4958346415149,201.4143057400193
13,35,1141.0817557223913,1173.4958346415149,120.30375460840658
14,36,1050.0146449395195,1173.4958346415149,287.27645346560456
15,38,1119.2964610224114,1173.4958346415149,173.67897210749152
16,43,1100.403997182818,1173.4958346415149,210.7396871532768
17,37,1058.909945166373,1173.4958346415149,275.7016087754129
18,43,1101.003732098897,1173.4958346415149,178.1365330903086
19,36,1095.0818650203694,1173.4958346415149,225.87777806487188
20,40,1090.8177064908914,1173.4958346415149,247.74059135547145
